"","rank","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"219","19","47291010877","133218677","eldrkuma","EldrKuma","513181","Genshin Impact","live","Desert where's my cactus juice?!  Welkin GA eldrpoints !store","35","2022-10-12T02:36:48Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_eldrkuma-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""c2839af5-f1d2-46c4-8edc-1d0bfbd85070"")","TRUE"
"220","20","41378950203","90596745","matchaartist","matchaartist","513181","Genshin Impact","live","[DROPS][VTuber] I'm back??? at an early time??? genshin event ||  !hi !dr !kofi !genshin","33","2022-10-11T23:28:19Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_matchaartist-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"221","21","40337046649","52631142","kushalas","Kushalas","513181","Genshin Impact","live","[eng/esp] #1 Cyno Anxiety + free !reviews 👀","30","2022-10-12T03:23:46Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_kushalas-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"222","22","41380051723","64287046","machorice","MachoRice","513181","Genshin Impact","live","Hi, I'm not very smart at genshin updates and am running on 1 hour of sleep?","30","2022-10-12T02:33:10Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_machorice-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"223","23","41379389979","494830492","exsyl3","exSyl3","513181","Genshin Impact","live","tom nook wants me to pay again | weeklies","29","2022-10-12T00:43:58Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_exsyl3-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","FALSE"
"224","24","47290901581","119504751","hebecelene","HebeCelene","513181","Genshin Impact","live","VTUBER ✧ more chill vibes ✧ do you want to see the cosplay? ✧ !c6 !charity !spin !hbomax #sponsor","25","2022-10-12T02:19:13Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_hebecelene-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","TRUE"
"225","25","40337230505","150563404","owletdesu","owletdesu","513181","Genshin Impact","live","finally going home | katie is definitely the most sane kaeya enthusiast YEP","25","2022-10-12T04:12:27Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_owletdesu-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","TRUE"
"226","26","41380519147","173721704","ojoutan","ojoutan","513181","Genshin Impact","live","have u ever seen your neighbors bring in groceries? !hellofresh #ad","24","2022-10-12T04:30:04Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ojoutan-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","FALSE"
"227","27","41379629915","44931167","akimakiroll","AkiMakiRoll","513181","Genshin Impact","live","[Drops]🦊|| Sumeru Desert Side Story + Exploration || #OniMaki || [EN/JP]","24","2022-10-12T01:14:05Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_akimakiroll-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"228","28","41379001035","130149327","ventywenty","VentyWenty","513181","Genshin Impact","live","cozy background noise @ mondstadt🍃","24","2022-10-11T23:44:32Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ventywenty-{width}x{height}.jpg","list(""67259b26-ff83-444e-9d3c-faab390df16f"", ""325f7a22-26f4-4ad7-be48-f464de0b89ce"", ""adc4a830-07f5-457b-95e5-5ab6cc1f9af3"", ""ba2c968b-867a-49ce-aebc-3d978a204f4a"", ""ac763b17-7bea-4632-9eb4-d106689ff409"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"229","29","41379494203","535676744","britva_games","britva_games","513181","Genshin Impact","live","✨ Genshin Impact Baby does First Play Through ✨ - Stream Raiders| 18+ Stream | !discord !social !battle","23","2022-10-12T00:58:09Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_britva_games-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"230","30","40334691465","239557595","spiceworld","spiceworld","513181","Genshin Impact","live","[DROPS] Remember to do your dailys! Come hangout with, us<3","22","2022-10-11T19:45:14Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_spiceworld-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""353ab6ac-a0ee-404e-9bfa-217446b97718"", ""b6b64b15-447c-4178-9609-d3d511123521"", ""6606e54c-f92d-40f6-8257-74977889ccdd"", ""3ffbec21-97a2-43f9-bd73-4506a1b4d62c"")","TRUE"
"231","31","40336129929","46879865","butwhythofam","ButWhyThoFam","513181","Genshin Impact","live","SOME SINGING THEN TWITCHCON RECAP + GENSHIN CATCHUP","21","2022-10-12T00:24:29Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_butwhythofam-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","FALSE"
"232","32","41379381547","508876066","hyasynth_live","hyasynth_live","513181","Genshin Impact","live","[EnVtuber] Archon Quest! Avoiding Campus Security! !Hellofresh #Sponsored","21","2022-10-12T00:42:56Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_hyasynth_live-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""52d7e4cc-633d-46f5-818c-bb59102d9549"", ""afc8211a-8eee-48b8-9e18-212f22f657db"")","FALSE"
"233","33","47291333261","432912584","marritheebutterfly","marritheebutterfly","513181","Genshin Impact","live","Good Day for Genshin","20","2022-10-12T03:33:19Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_marritheebutterfly-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
