"","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"91","40342959609","101449968","iridium","Iridium","516575","VALORANT","live","FADE 100 Game Speedrun ⚡️ | Follow: instagram.com/iridiyum","24","2022-10-13T17:07:19Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_iridium-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"92","46173363996","595199975","lichtmtg","LichtMTG","516575","VALORANT","live","Next ep radiant? Unrated with viewers [new vid ;o] | !newvideo !imbad !crosshair !rank","23","2022-10-13T16:58:35Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_lichtmtg-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"93","39943315784","94817028","lillyygoat","lillyygoat","516575","VALORANT","live","Extra streamm | !discord | ENG/NL | 18+","23","2022-10-13T17:12:21Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_lillyygoat-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"94","40342925785","16204851","steveclaus","steveclaus","516575","VALORANT","live","I told the chimney sweep that I thought I’d like to do the job on my own. He said, “soot yourself.”","23","2022-10-13T16:57:34Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_steveclaus-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"95","41386001803","118597216","onoez","onoez","516575","VALORANT","live","♡✨ No cam soloq vibes today✨ !Socials !Fractal  !Throne !Vyrus !Blackcraft","23","2022-10-13T18:49:58Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_onoez-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"96","47297904573","68649529","maskedmoral","MASKEDMORAL","516575","VALORANT","live","JUST A SMALL TOWN GIRL • !socials !tiktok !HelloFresh • #ad","22","2022-10-13T18:06:43Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_maskedmoral-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"97","39763302343","505460247","dinomisu","Dinomisu","516575","VALORANT","live","[SG/EN] Hand is dead | Still sick | !trio !squad !beedah !utsuho !sons !family !goal !commands","22","2022-10-13T14:13:57Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_dinomisu-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"98","46173742652","61952108","dimp1y","Dimp1y","516575","VALORANT","live","I need Harbour in my life","22","2022-10-13T18:01:20Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_dimp1y-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"99","46172973036","775667284","duckiedoll","duckiedoll","516575","VALORANT","live","NEW VALORANT AGENT [NOT A CLICKBAIT]","21","2022-10-13T15:15:09Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_duckiedoll-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"100","39763210935","659431638","poyoyoyo","poyoyoyo","516575","VALORANT","live","[SG/EN]val 2nd...? xd | !tiktok","21","2022-10-13T13:48:05Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_poyoyoyo-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""15530b1f-f40f-457c-8db2-23e0828518d9"", ""723836c5-8e00-43de-97c5-0fc64308d159"", ""dffe48c0-951f-4bc3-a4a6-77a556988b70"")","FALSE"
